,_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,direction,b1,b2,direction_gold,e1,e2,relation,relex_relcos,sent_id,sentence,term1,term2,twrex
7138,721702148,5/14/2015 19:02:13,1636466260,5/14/2015 19:01:45,False,clixsense,0.7083,28351359,GBR,F6,Romford,80.43.183.92,no_relation,83,35,,115,67,causes,0.5625439504630121,813947-FS1-4,"Rarely, varicose veins are part of KLIPPEL TRENAUNAY WEBER SYNDROME which includes CONGENITAL ARTERIOVENOUS FISTULAS and diffuse cutaneous capillary angiomas.",CONGENITAL ARTERIOVENOUS FISTULAS,KLIPPEL TRENAUNAY WEBER SYNDROME,TWrex-cause
7145,721702149,5/14/2015 18:24:44,1636448470,5/14/2015 18:24:24,False,neodev,1.0,31743852,GBR,G5,Margate,85.210.120.188,MYOCARDIAL INFARCTION causes CARVEDILOL REDUCED MORTALITY,132,0,,152,28,causes,0.9830783046228492,804563-FS1-4,CARVEDILOL REDUCED MORTALITY and morbidity caused by myocardial infarction in patients with left ventricular dysfunction  Keywords: MYOCARDIAL INFARCTION Left ventricular function Adrenergic beta agonists  ACP Journal Club.,MYOCARDIAL INFARCTION,CARVEDILOL REDUCED MORTALITY,TWrex-cause
7152,721702153,5/14/2015 18:38:53,1636456473,5/14/2015 18:38:25,False,pocketmoneygpt,0.6183,28884030,USA,WI,Minocqua,75.143.134.247,AUTONOMIC NERVOUS SYSTEM DYSFUNCTION causes PURE 'SMALL FIBER' POLYNEUROPATHIES,210,120,,245,155,causes,0.9615239476408228,802148-FS1-4,Tendon reflexes are depressed more frequently in demyelinating or large fiber polyneuropathies and are not depressed in PURE 'SMALL FIBER' POLYNEUROPATHIES Physical exam  Autonomic dysfunction         Signs of AUTONOMIC NERVOUS SYSTEM DYSFUNCTION may be seen in polyneuropathy if autonomic fibers are involved,AUTONOMIC NERVOUS SYSTEM DYSFUNCTION,PURE 'SMALL FIBER' POLYNEUROPATHIES,TWrex-cause
7159,721702155,5/14/2015 18:40:48,1636457369,5/14/2015 18:40:26,False,clixsense,0.5111,6362702,GBR,B7,Bristol,90.222.95.91,FRANCISELLA TULARENSIS causes TULAREMIA,213,36,,221,58,causes,0.9931270663228408,810960-FS1-4,"SYN:   Treacher Collins syndrome    FRANCISELLA TULARENSIS    (                                audio )  [Edward Francis, Tulare County, California] A gram negative, aerobic, non spore forming bacillus that causes TULAREMIA in humans and animals.",TULAREMIA,FRANCISELLA TULARENSIS,TWrex-cause
7166,721702156,5/14/2015 19:39:13,1636500492,5/14/2015 19:39:00,False,instagc,0.7986,22535866,GBR,M2,Solihull,80.195.193.86,no_relation,67,39,,70,45,causes,0.9113223768657672,812109-FS1-4,Specific recommendation: • Distinguish SEPSIS from other causes of SIRS,SIRS,SEPSIS,TWrex-cause
7173,721702157,5/14/2015 18:23:37,1636447948,5/14/2015 18:23:12,False,neodev,1.0,31743852,GBR,G5,Margate,85.210.120.188,no_relation,24,124,,36,136,causes,0.768221279597376,802906-FS1-4,"• Consider aspirating a SWOLLEN JOINT to document the presence of CPPD crystals or document an arthritic process other than CPPD DISEASE e.g., septic arthritis or gout.",SWOLLEN JOINT,CPPD DISEASE,TWrex-cause
7180,721702159,5/14/2015 18:24:23,1636448307,5/14/2015 18:24:04,False,neodev,1.0,31743852,GBR,G5,Margate,85.210.120.188,no_relation,26,98,,33,106,causes,0.7330166661378309,813321-FS1-4,"Early treatment, when the HEADACHE is mild, is much more effective than later treatment, when the MIGRAINE is moderate or severe in intensity.",HEADACHE,MIGRAINE,TWrex-cause
7187,721702160,5/14/2015 18:39:10,1636456568,5/14/2015 18:38:54,False,pocketmoneygpt,0.6183,28884030,USA,WI,Minocqua,75.143.134.247,MYCOBACTERIUM TUBERCULOSIS causes NONCAVITY PULMONARY TB,148,194,,169,220,causes,0.997054485501582,810098-FS1-4,"14  ATS, CDC, and IDSA state that rifapentine can be used in conjunction with isoniazid in the continuation phase in HIV seronegative patients with NONCAVITY PULMONARY TB caused by susceptible  MYCOBACTERIUM TUBERCULOSIS ; rifapentine is an alternative to rifampin for use in conjunction with isoniazid in the continuation phase.",NONCAVITY PULMONARY TB,MYCOBACTERIUM TUBERCULOSIS,TWrex-cause
7194,721702162,5/14/2015 19:39:13,1636500491,5/14/2015 19:39:00,False,instagc,0.7986,22535866,GBR,M2,Solihull,80.195.193.86,RICKETTSIA RICKETTSII causes ROCKY MOUNTAIN SPOTTED FEVER,96,59,,123,80,causes,0.997054485501582,810530-FS1-4,"Included are infections caused by the pathogenic organism  RICKETTSIA RICKETTSII , which causes ROCKY MOUNTAIN SPOTTED FEVER",ROCKY MOUNTAIN SPOTTED FEVER,RICKETTSIA RICKETTSII,TWrex-cause
7201,721702165,5/14/2015 18:40:48,1636457370,5/14/2015 18:40:26,False,clixsense,0.5111,6362702,GBR,B7,Bristol,90.222.95.91,EBV INFECTION causes EBV LYMPHOPROLIFERATIVE SYNDROMES,4,105,,16,138,causes,0.896258159530272,810656-FS1-4,69  EBV INFECTION in the Immunocompromised Host  Immunocompromised hosts are susceptible to overwhelming EBV LYMPHOPROLIFERATIVE SYNDROMES.,EBV INFECTION,EBV LYMPHOPROLIFERATIVE SYNDROMES,TWrex-cause
7208,721702169,5/14/2015 20:16:44,1636520459,5/14/2015 20:16:19,False,clixsense,0.8373,30313955,GBR,K5,Poole,2.30.145.202,KALLMANN SYNDROME causes ANOSMIA,68,24,,74,41,causes,0.625,813212-FS1-4,This disorder is termed KALLMANN SYNDROME when it is accompanied by ANOSMIA and has also been termed idiopathic hypogonadotropic hypogonadism (IHH.,ANOSMIA,KALLMANN SYNDROME,TWrex-cause
7215,721702170,5/14/2015 18:41:24,1636457613,5/14/2015 18:40:50,False,clixsense,0.5111,6362702,GBR,B7,Bristol,90.222.95.91,INFECTIOUS MONONUCLEOSIS causes LYMPHADENOPATHY,100,0,,114,24,causes,0.997054485501582,813015-FS1-4,"INFECTIOUS MONONUCLEOSIS  Clinical features   Patients usually present with fever, pharyngitis, and LYMPHADENOPATHY",LYMPHADENOPATHY,INFECTIOUS MONONUCLEOSIS,TWrex-cause
7222,721702171,5/14/2015 18:39:23,1636456670,5/14/2015 18:39:11,False,pocketmoneygpt,0.6183,28884030,USA,WI,Minocqua,75.143.134.247,PHEOCHROMOCYTOMAS causes HYPERTENSION,22,132,,33,149,causes,0.953462589245592,813732-FS1-4,"• Clinical spells and HYPERTENSION from circulating catecholamines are insufficiently sensitive to be used as primary indicators of PHEOCHROMOCYTOMAS but, when present, may herald life threatening crises.",HYPERTENSION,PHEOCHROMOCYTOMAS,TWrex-cause
7229,721702172,5/14/2015 18:38:53,1636456467,5/14/2015 18:38:25,False,pocketmoneygpt,0.6183,28884030,USA,WI,Minocqua,75.143.134.247,ACUTE ARTERITIS WITH EOSINOPHILIA causes HYPEREOSINOPHILIC SYNDROME,141,37,,173,63,causes,0.9237604307034007,812643-FS1-4,"Loffler's syndrome (a subcategory of HYPEREOSINOPHILIC SYNDROME with primary cardiac involvement), which occurs in the tropics, begins as an ACUTE ARTERITIS WITH EOSINOPHILIA followed by thrombus formation on the endocardium, chordae, and atrioventricular (AV) valves, progressing to fibrosis.",ACUTE ARTERITIS WITH EOSINOPHILIA,HYPEREOSINOPHILIC SYNDROME,TWrex-cause
7236,721702174,5/14/2015 18:24:02,1636448125,5/14/2015 18:23:39,False,neodev,1.0,31743852,GBR,G5,Margate,85.210.120.188,CHRONIC PAIN FROM BRACHIAL PLEXUS causes RSD,0,49,,32,52,causes,0.9237604307034007,813018-FS1-4,"CHRONIC PAIN FROM BRACHIAL PLEXUS injury becomes RSD once additional, RSD defining symptoms develop.",CHRONIC PAIN FROM BRACHIAL PLEXUS,RSD,TWrex-cause
7243,721702175,5/14/2015 18:41:24,1636457616,5/14/2015 18:40:50,False,clixsense,0.5111,6362702,GBR,B7,Bristol,90.222.95.91,ECLAMPSIA causes COMPLICATION,30,0,,41,9,causes,0.5,812206-FS1-4,ECLAMPSIA is the most serious COMPLICATION of pregnancy induced hypertension (PIH.,COMPLICATION,ECLAMPSIA,TWrex-cause
7250,723907893,5/20/2015 12:33:28,1639651425,5/20/2015 12:33:02,False,neodev,0.7972,12115558,USA,OH,Twinsburg,98.27.164.131,ELEVATED INTRACRANIAL PRESSURE causes PAPILLEDEMA,0,25,,10,55,causes,0.970142500145332,813783-FS1-4,PAPILLEDEMA is a sign of ELEVATED INTRACRANIAL PRESSURE and is almost always bilateral.,PAPILLEDEMA,ELEVATED INTRACRANIAL PRESSURE,TWrex-cause
7264,723907897,5/20/2015 12:53:35,1639658759,5/20/2015 12:53:18,False,instagc,0.9333,31184650,USA,IA,Mason City,173.26.27.82,LEPTOSPIRA INTERROGANS causes LEPTOSPIROSIS,22,79,,34,101,causes,0.9901475429766742,810115-FS1-4,"physician, 1848 1916] LEPTOSPIROSIS caused by any one of several serotypes of  LEPTOSPIRA INTERROGANS  such as  L. icterohemorrhagica  in rats,  L. pomona  in swine, or  L. canicola  in dogs.",LEPTOSPIROSIS,LEPTOSPIRA INTERROGANS,TWrex-cause
7271,723907899,5/20/2015 13:58:23,1639677453,5/20/2015 13:58:08,False,clixsense,0.7448,27754226,GBR,O3,South Ockendon,92.232.236.243,no_relation,150,125,,162,137,causes,0.5669467095138411,814839-FS1-4,"• Systematic reviews of treatment modalities for osteoarthritis ( 28 ;  29 ), rheumatoid arthritis ( 30 ;  31 ;  32 ;  33 ), FIBROMYALGIA ( 34 ), and LOW BACK PAIN ( 35 ;  36 ;  37 ) confirm that each of these specific pain syndromes responds to specific treatment modalities and that accurate diagnosis is important to guide optimal pain management.",LOW BACK PAIN,FIBROMYALGIA,TWrex-cause
7278,723907900,5/20/2015 12:13:19,1639644071,5/20/2015 12:13:10,False,clixsense,0.6167,6352682,GBR,H9,London,2.122.19.138,RSD causes CENTRAL POSTSTROKE PAIN,249,26,,271,29,causes,0.577350269189626,813070-FS1-4,"• The complex symptoms of RSD and their significant overlap with neurologic and rheumatologic conditions justify a neurologic and possibly rheumatologic evaluation in most cases to help distinguish RSD from neuropathy, radiculopathy, plexopathy, or CENTRAL POSTSTROKE PAIN and from rheumatic or collagen vascular disease.",CENTRAL POSTSTROKE PAIN,RSD,TWrex-cause
7285,723907903,5/20/2015 13:38:57,1639670701,5/20/2015 13:38:42,False,clixsense,0.5794,22751911,NLD,04,Groningen,195.241.153.97,BABESIA MICROTI causes BABESIOSIS,13,42,,22,57,causes,0.997054485501582,812464-FS1-4,Treatment of BABESIOSIS   +    caused by  BABESIA MICROTI.,BABESIOSIS,BABESIA MICROTI,TWrex-cause
7292,723907904,5/20/2015 12:38:10,1639653052,5/20/2015 12:37:56,False,meprizescf,0.8204,28483210,USA,WI,Minocqua,75.143.134.247,DRAVET SYNDROME causes SEIZURE,83,47,,89,62,causes,0.994134846772434,813798-FS1-4,Treatment/Management  Children and Adults with DRAVET SYNDROME experience multiple SEIZURE types that are resistant to most anti epileptic medications.,SEIZURE,DRAVET SYNDROME,TWrex-cause
7306,723907907,5/20/2015 12:07:08,1639641771,5/20/2015 12:06:24,False,prodege,0.6048,21417560,GBR,C3,Cambridge,151.225.116.143,no_relation,151,215,,170,227,causes,0.7947194142390258,802823-FS1-4,"all patients with ovarian mass, ascites, and pleural effusion are inoperable; diagnosis requires disappearance of ascites and effusion postoperatively YELLOW NAIL SYNDROME Triad of pleural effusion, lymphedema, and YELLOW NAILS; elements may appear decades apart; pleural fluid has relatively high protein but low LDH; effusion tends to recur, and there is no pleuritic chest pain   Table 60 3.",YELLOW NAIL SYNDROME,YELLOW NAILS,TWrex-cause
7313,723907909,5/20/2015 13:46:50,1639673798,5/20/2015 13:46:17,False,neodev,0.6476,18881135,CAN,ON,Ajax,99.243.87.224,MYCOBACTERIUM LEPRAE causes LEPROSY,134,99,,140,119,causes,1.0,810604-FS1-4,"Hansen's bacillus    (            audio )  [Gerhard H. A. Hansen, Norwegian physician, 1841 1912]  MYCOBACTERIUM LEPRAE  the cause of LEPROSY which Hansen discovered in 1871.",LEPROSY,MYCOBACTERIUM LEPRAE,TWrex-cause
7320,723907910,5/20/2015 13:58:23,1639677448,5/20/2015 13:58:08,False,clixsense,0.7448,27754226,GBR,O3,South Ockendon,92.232.236.243,no_relation,2,56,,19,81,causes,0.8090398349558909,803042-FS1-4,• CUSHING'S SYNDROME patients with normal UFC levels or DEXAMETHASONE SUPPRESSION may have elevated midnight plasma cortisol ( 49 ;  50.,CUSHING'S SYNDROME,DEXAMETHASONE SUPPRESSION,TWrex-cause
7327,723907912,5/20/2015 12:13:19,1639644073,5/20/2015 12:13:10,False,clixsense,0.6167,6352682,GBR,H9,London,2.122.19.138,SAW PALMETTO causes BENIGN PROSTATIC HYPERPLASIA,45,0,,72,12,causes,0.38490017945975,805029-FS1-4,SAW PALMETTO did not differ from placebo for BENIGN PROSTATIC HYPERPLASIA in men  General Internal Medicine/Family Practitioner/General Practitioner Nephrology  About Star Ratings  Keywords: Androgen antagonists Plant extracts Prostatic hyperplasia  ACP Journal Club.,BENIGN PROSTATIC HYPERPLASIA,SAW PALMETTO,TWrex-cause
7334,723907913,5/20/2015 12:07:39,1639641948,5/20/2015 12:07:09,False,prodege,0.6048,21417560,GBR,C3,Cambridge,151.225.116.143,ERYSIPELOTHRIX RHUSIOPATHIAE causes ERYSIPELOID,41,63,,51,91,causes,0.99654575824488,811586-FS1-4,"1  >     Uncomplicated Infections (e.g., ERYSIPELOID Caused by ERYSIPELOTHRIX RHUSIOPATHIAE  IM:  Penicillin G procaine: 600,000 to 1 million units daily.",ERYSIPELOID,ERYSIPELOTHRIX RHUSIOPATHIAE,TWrex-cause
7341,723907916,5/20/2015 12:09:21,1639642516,5/20/2015 12:08:32,False,prodege,0.6048,21417560,GBR,C3,Cambridge,151.225.116.143,DISEASE (HD causes DEMENTIA,185,64,,192,75,causes,0.8867963503478641,812631-FS1-4,Hyperkinetic Movement Disorders  HUNTINGTON DISEASE  Huntington DISEASE (HD is an autosomal dominant neurodegenerative condition characterized by an adult onset choreiform disorder and DEMENTIA,DEMENTIA,DISEASE (HD,TWrex-cause
7348,723907917,5/20/2015 13:38:57,1639670704,5/20/2015 13:38:42,False,clixsense,0.5794,22751911,NLD,04,Groningen,195.241.153.97,CNS causes MENINGITIS,47,68,,49,78,causes,0.9878291611472622,802710-FS1-4,"Evidence: • Although enterovirus affecting the CNS primarily causes MENINGITIS cases of enterovirus presenting as chronic, recurring encephalitis have been reported in patients with deficiencies in humoral immunity ( 22.",CNS,MENINGITIS,TWrex-cause
7355,723907918,5/20/2015 12:52:53,1639658446,5/20/2015 12:52:38,False,instagc,0.9333,31184650,USA,IA,Mason City,173.26.27.82,no_relation,35,101,,56,123,causes,0.7293249574894731,811389-FS1-4,"Prevention of Seasonal Influenza A AND B VIRUS INFECTIONS  Prevention of illness caused by influenza A OR B VIRUS IN ADULTS adolescents, and children ≥1 year of age.",AND B VIRUS INFECTIONS,A OR B VIRUS IN ADULTS,TWrex-cause
7362,723907919,5/20/2015 12:38:10,1639653053,5/20/2015 12:37:56,False,meprizescf,0.8204,28483210,USA,WI,Minocqua,75.143.134.247,no_relation,129,0,,153,24,causes,0.625,812831-FS1-4,"MYELODYSPLASTIC SYNDROME involves a group of disorders typified by peripheral cytopenia, dysplastic hematopoietic progenitors, a HYPERCELLULAR BONE MARROW and a high risk of conversion to AML.",HYPERCELLULAR BONE MARROW,MYELODYSPLASTIC SYNDROME,TWrex-cause
7369,723907920,5/20/2015 12:20:53,1639646814,5/20/2015 12:20:40,False,instagc,0.7014,13581319,USA,IL,Mount Vernon,66.232.166.86,no_relation,0,38,,22,54,causes,0.8082903768654759,812755-FS1-4,"HYPERTENSION IN MEN IIA patients with PHEOCHROMOCYTOMA is more often paroxysmal than sustained, in contrast to the usual sporadic case.",HYPERTENSION IN MEN IIA,PHEOCHROMOCYTOMA,TWrex-cause
7376,723907921,5/20/2015 13:46:50,1639673797,5/20/2015 13:46:17,False,neodev,0.6476,18881135,CAN,ON,Ajax,99.243.87.224,METASTASES causes METASTATIC LESION,153,18,,169,28,causes,0.534522483824849,813966-FS1-4,"In cases of known METASTASES surgical resection of the kidney ('cytoreductive nephrectomy') may improve survival,[43] as well as resection of a solitary METASTATIC LESION...",METASTATIC LESION,METASTASES,TWrex-cause
7383,723907924,5/20/2015 14:08:20,1639679797,5/20/2015 14:07:54,False,onestopgpt,0.7151,21275875,CAN,ON,Hamilton,24.36.121.10,ENTAMOEBA HISTOLYTICA causes AMEBIASIS,30,51,,38,72,causes,0.99654575824488,812367-FS1-4,Uses  Amebiasis  Treatment of AMEBIASIS caused by  ENTAMOEBA HISTOLYTICA.,AMEBIASIS,ENTAMOEBA HISTOLYTICA,TWrex-cause
7390,723907925,5/20/2015 14:08:43,1639679901,5/20/2015 14:08:30,False,prodege,0.6212,29849805,GBR,Z1,Swansea,82.1.37.235,ECHINOCOCCUS GRANULOSUS causes HYDATID DISEASE,105,50,,119,73,causes,0.997054485501582,811796-FS1-4,"In humans,  T. solium  causes cysticercosis, and  ECHINOCOCCUS GRANULOSUS  and  E. multilocularis cause  HYDATID DISEASE",HYDATID DISEASE,ECHINOCOCCUS GRANULOSUS,TWrex-cause
7397,723907927,5/20/2015 12:20:53,1639646815,5/20/2015 12:20:40,False,instagc,0.7014,13581319,USA,IL,Mount Vernon,66.232.166.86,CYCLOSPORINE causes HYPERTENSION,23,0,,34,12,causes,0.9897433186107868,812447-FS1-4,"CYCLOSPORINE can cause HYPERTENSION renal toxicity, hypomagnesemia, hypophosphatemia, vitiligo, tremors, hypertrichosis, susceptibility to  Pneumocystis carinii  pneumonia (PCP), and gingival hyperplasia.",HYPERTENSION,CYCLOSPORINE,TWrex-cause
7404,723907929,5/20/2015 14:08:20,1639679795,5/20/2015 14:07:54,False,onestopgpt,0.7151,21275875,CAN,ON,Hamilton,24.36.121.10,HTLV 1 causes TROPICAL SPASTIC PARAPARESIS,134,0,,161,6,causes,0.878114079917523,810947-FS1-4,"HTLV 1 causes adult T cell leukemia/lymphoma (ATL), T cell non Hodgkin lymphoma, and an unusual neurodegenerative syndrome designated TROPICAL SPASTIC PARAPARESIS or HTLV 1 associated myelopathy (TSP/HAM.",TROPICAL SPASTIC PARAPARESIS,HTLV 1,TWrex-cause
7411,724124092,5/20/2015 22:31:07,1639891107,5/20/2015 22:30:48,False,elite,0.875,31883685,GBR,H2,Accrington,80.47.186.28,no_relation,108,23,,115,41,causes,0.911684611677103,812177-FS1-4,Cutaneous reactions to PSYCHOTROPIC DRUGS; atrial fibrillation and anabolic steroids; accidental olanzapine OVERDOSE in a child.,OVERDOSE,PSYCHOTROPIC DRUGS,TWrex-cause
7418,724124094,5/20/2015 22:57:17,1639900566,5/20/2015 22:57:00,False,instagc,0.7833,32352104,USA,ME,Bangor,74.75.63.81,DIARRHEA causes ANTIBIOTIC ASSOCIATED DIARRHEA,121,99,,128,129,causes,0.738548945875996,814631-FS1-4,"100 ,   120 ,   121    Clostridium difficile  associated diarrhea and colitis (CDAD; also known as ANTIBIOTIC ASSOCIATED DIARRHEA and colitis or pseudomembranous colitis) has been reported with nearly all anti infectives, including cefadroxil, and may range in severity from mild DIARRHEA to fatal colitis.",DIARRHEA,ANTIBIOTIC ASSOCIATED DIARRHEA,TWrex-cause
7425,724124095,5/20/2015 22:31:07,1639891109,5/20/2015 22:30:48,False,elite,0.875,31883685,GBR,H2,Accrington,80.47.186.28,CAUSES AND NEURALGIA TH causes EAR PAIN HAS,203,237,,214,260,causes,0.98058067569092,814873-FS1-4,C]  Specific recommendation:  Consult an ENT specialist if the patient has: ; Pain in the ear or throat ; Constant facial pain with sinus tenderness ; Foul nasal discharge ; Facial swelling  Rationale:  EAR PAIN HAS many common otologic CAUSES AND NEURALGIA THat involves the ear is rare.,EAR PAIN HAS,CAUSES AND NEURALGIA TH,TWrex-cause
7432,724124096,5/20/2015 21:12:37,1639872251,5/20/2015 21:11:53,False,neodev,0.748,18881135,CAN,ON,Ajax,99.243.87.224,no_relation,132,107,,154,120,causes,0.480384461415261,815128-FS1-4,"relapse ; Identifying and treating suboptimal responses (i.e., treatment failure, incomplete response, and DRUG TOXICITY ; Managing MEDICATION SIDE EFFECTS especially myelosuppression and vertebral compression.",MEDICATION SIDE EFFECTS,DRUG TOXICITY,TWrex-cause
7439,724124097,5/20/2015 22:30:48,1639891013,5/20/2015 22:30:25,False,elite,0.875,31883685,GBR,H2,Accrington,80.47.186.28,VIRUS INDUCED DEMYELINATION causes SUBACUTE SCLEROSING PANENCEPHALITIS,84,0,,118,27,causes,0.956182887467515,811566-FS1-4,VIRUS INDUCED DEMYELINATION includes progressive multifocal leukoencephalopathy and SUBACUTE SCLEROSING PANENCEPHALITIS,SUBACUTE SCLEROSING PANENCEPHALITIS,VIRUS INDUCED DEMYELINATION,TWrex-cause
7446,724124099,5/21/2015 00:25:55,1639938317,5/21/2015 00:25:23,False,clixsense,0.4952,17950689,GBR,Y9,Tonypandy,92.2.44.79,no_relation,158,24,,161,34,causes,0.994936676326182,812657-FS1-4,"SYN:   fibromyositis ;  FIBROSITIS   SEE:   table  PATIENT CARE: Fibromyalgia is a condition in which objective findings are limited, but subjective fatigue, PAIN and distress are often significant.",PAIN,FIBROSITIS,TWrex-cause
7453,724124100,5/20/2015 23:23:54,1639910277,5/20/2015 23:23:02,False,instagc,0.7833,20312760,GBR,I2,Manchester,90.244.152.57,no_relation,203,20,,219,64,causes,0.979957887012223,812659-FS1-4,"Symptoms  Galactose 1 PHOSPHATE URIDYLYLTRANSFERASE GALACTOSEMIA is characterized by poor growth in children, mental retardation, speech abnormality, vision impairment (due to formation of cataract) and LIVER ENLARGEMENT (which may be fatal.",LIVER ENLARGEMENT,1 PHOSPHATE URIDYLYLTRANSFERASE GALACTOSEMIA,TWrex-cause
7460,724124101,5/20/2015 23:22:40,1639909602,5/20/2015 23:22:23,False,instagc,0.7833,20312760,GBR,I2,Manchester,90.244.152.57,ENDOMETRIOSIS causes PELVIC PAIN,309,331,,319,344,causes,0.976546150525391,814719-FS1-4,Endometriosis lesions grow when serum estradiol concentration is in the premenopausal range (30 to 300 pg/mL) and regress when estradiol levels are in the menopausal range (  40  Progestins  High dose synthetic progestins have been demonstrated in multiple clinical trials to be effective in the treatment of PELVIC PAIN caused by ENDOMETRIOSIS [ see  Table 5.,PELVIC PAIN,ENDOMETRIOSIS,TWrex-cause
7467,724124102,5/20/2015 20:46:01,1639862063,5/20/2015 20:45:26,False,prodege,1.0,21417560,GBR,C3,Cambridge,151.225.116.143,no_relation,51,2,,62,12,causes,0.950255268139496,803196-FS1-4," METFORMIN Can accumulate in patients who develop rENAL FAILURE and metformin accumulation can lead to lactic acidosis, which can be fatal.",ENAL FAILURE,ETFORMIN C,TWrex-cause
7481,724124104,5/20/2015 22:56:59,1639900454,5/20/2015 22:56:49,False,instagc,0.7833,32352104,USA,ME,Bangor,74.75.63.81,DRUG INDUCED NEUTROPENIA causes NEUTROPENIA,13,0,,23,24,causes,1.0,811691-FS1-4,DRUG INDUCED NEUTROPENIA is one of the most common causes of NEUTROPENIA,NEUTROPENIA,DRUG INDUCED NEUTROPENIA,TWrex-cause
7488,724124105,5/20/2015 23:23:01,1639909808,5/20/2015 23:22:41,False,instagc,0.7833,20312760,GBR,I2,Manchester,90.244.152.57,no_relation,106,85,,149,88,causes,0.520755643923296,813430-FS1-4,"In persons older than 20 years in whom ophthalmoplegia is the predominant phenotype, KSS is classified as CHRONIC PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA (CPEO.",CHRONIC PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA,KSS,TWrex-cause
7495,724124108,5/20/2015 21:13:06,1639872428,5/20/2015 21:12:41,False,neodev,0.748,18881135,CAN,ON,Ajax,99.243.87.224,CHRONIC PAIN FOLLOWING HERPES causes POSTHERPETIC NEURALGIA,145,105,,173,127,causes,0.929981109950554,813399-FS1-4,Involvement of the tip of the nose in the zoster rash is a strong predictor of herpes ophthalmicus.[46]  POSTHERPETIC NEURALGIA   a condition of CHRONIC PAIN FOLLOWING HERPES zoster.,CHRONIC PAIN FOLLOWING HERPES,POSTHERPETIC NEURALGIA,TWrex-cause
7502,724124109,5/20/2015 23:23:01,1639909817,5/20/2015 23:22:41,False,instagc,0.7833,20312760,GBR,I2,Manchester,90.244.152.57,no_relation,25,47,,28,66,causes,0.6154574548966639,802588-FS1-4,Physical findings in the FEET of patients with BILATERAL FOOT PAIN from small fiber polyneuropathy.,FEET,BILATERAL FOOT PAIN,TWrex-cause
7509,724124110,5/20/2015 21:11:52,1639871896,5/20/2015 21:11:19,False,neodev,0.748,18881135,CAN,ON,Ajax,99.243.87.224,EWING SARCOMA causes FEVER,158,212,,162,225,causes,0.979957887012223,812664-FS1-4,"Diagnosis  Patients with Ewing sarcoma present with fever, weight loss, malaise, poorly localized bone pain, and a rapidly enlarging mass. With leukocytosis, FEVER and an elevated erythrocyte sedimentation rate, EWING SARCOMA mimics osteomyelitis.",FEVER,EWING SARCOMA,TWrex-cause
7516,724124111,5/20/2015 23:48:57,1639921605,5/20/2015 23:48:41,False,pocketmoneygpt,0.5764,28884030,USA,WI,Minocqua,75.143.134.247,M TUBERCULOSIS causes DRUG RESISTANT TUBERCULOSIS ESPECIALLY MULTIDRUG RESISTANT,43,136,,100,150,causes,0.9760921603577252,811774-FS1-4,"Longer courses of therapy are required for DRUG RESISTANT TUBERCULOSIS ESPECIALLY MULTIDRUG RESISTANT disease (i.e., disease caused by  M TUBERCULOSIS  that is resistant to at least isoniazid and rifampin).Treatment of tuberculosis has two phases: initiation (also known as the bactericidal or intensive phase) and continuation (also known as the subsequent sterilizing phase.",DRUG RESISTANT TUBERCULOSIS ESPECIALLY MULTIDRUG RESISTANT,M TUBERCULOSIS,TWrex-cause
7523,724124113,5/20/2015 20:44:00,1639861328,5/20/2015 20:43:24,False,prodege,1.0,21417560,GBR,C3,Cambridge,151.225.116.143,COXIELLA BURNETII causes Q FEVER ENDOCARDITIS,37,69,,56,86,causes,0.9918365981341758,810688-FS1-4,"568 ,   625   Has been effective for Q FEVER ENDOCARDITIS caused by  COXIELLA BURNETII    +     625   and Mediterranean spotted fever caused by  Rickettsia conorii    +.",Q FEVER ENDOCARDITIS,COXIELLA BURNETII,TWrex-cause
7530,724124114,5/20/2015 21:06:58,1639870266,5/20/2015 21:06:45,False,instagc,0.5675,13581319,USA,IL,Mount Vernon,66.232.166.86,FUNGI causes FUNGAL INFECTION,106,176,,121,181,causes,1.0,811018-FS1-4,"bronchomycosis    (                      audio )  [&dblprime; +  mykes , fungus, +  osis , condition] Any FUNGAL INFECTION of the bronchi or bronchial tubes, usually caused by FUNGI of the genus  Candida.",FUNGAL INFECTION,FUNGI,TWrex-cause
7537,724124116,5/20/2015 20:45:02,1639861652,5/20/2015 20:44:04,False,prodege,1.0,21417560,GBR,C3,Cambridge,151.225.116.143,HUMAN EWINGII EHRLICHIOSIS causes EHRLICHIA CHAFFEENSIS,232,69,,257,90,causes,0.964901281354015,810009-FS1-4,"Six species are now implicated in human diseases [ see  Table 1  ]:  EHRLICHIA CHAFFEENSIS , which causes human monocytic ehrlichiosis;  Anaplasma phagocytophilum , which causes human anaplasmosis;  Ehrlichia ewingii , which causes HUMAN EWINGII EHRLICHIOSIS;  Ehrlichia canis ;  Ehrlichia ruminantium ; and  Neorickettsia sennetsu.",HUMAN EWINGII EHRLICHIOSIS,EHRLICHIA CHAFFEENSIS,TWrex-cause
